,title,view
0,[/SS 겨울왕국/NNG 2/SN ]/SS 영등포/NNP 오/VV 았/EP 는데/EC 무슨/MM 행사/NNG 있/VV 나/EC 보/VX 네요/EC,785
1,겨울/NNG 왕국/NNG 2/SN 4/SN dx/SL 로/JKB 보러오/VV 았/EP 어요/EC,324
2,용아맥/NNG 자리/NNG 어디/NP 가/JKS 좋/VA 을까요/EF ??/SF ㅠ/SWK ㅠ/NNG,427
3,cgv/SL 영화/NNG 관람/NNG 권/XSN 질문/NNG,343
4,미션/NNG 재/XPN 개봉/NNG 은/JX 취소/NNG 되/XSV ㄴ/ETM 것/NNB 이/VCP ㄴ가요/EF ?/SF,435
5,12/SN //SP 4/SN &/SW lt/SL ;/SP 너/NP 의/JKG 여자/NNG 친구/NNG &/SW gt/SL ;/SP 시사회/NNG 이벤트/NNG 정보/NNG,326
6,[/SS 겨울왕국/NNG 2/SN ]/SS 관객/NNG 추천/NNG 영상/NNG 공개/NNG,270
7,[/SS 스타워즈/NNP 9/SN ]/SS 중국/NNP 12/SN //SP 20/SN 개봉/NNG 확정/NNG,570
8,'/SS 조커/NNG 2/SN '/SS 팬포스터/NNG,466
9,[/SS 겨울왕국/NNG 2/SN ]/SS 국가/NNG 별/XSN 흥행/NNG -/SS 한국/NNP 2/SN 위/NNB,2639
10,[/SS 겨울/NNG 왕국/NNG 2/SN ]/SS 북미/NNP 극장/NNG 선물/NNG 들/XSN,1249
11,겨울/NNG 왕국/NNG 2/SN 관크/NNG 는/JX 없/VA 었/EP 지만/EC 좀/MAG 아쉽/VA 네요/EC,733
12,겨울/NNG 왕국/NNG 2/SN 포스터/NNG 이벤트/NNG 결국/NNG 안/MAG 하/VV 겠/EP 죠/EF .../SE ?/SF,1944
13,11/SN 월/NNB 24/SN 일/NNB (/SS 일/NNG )/SS 넷플릭스/NNP 업데이트/NNG 작품/NNG 들/XSN,3261
14,겨울/NNG 왕국/NNG 2/SN 4/SN D/SL 로/JKB 보/VV ㄹ/ETM 만/NNB 하/XSA ㄴ가요/EF ?/SF,284
